Year,Venue,Title,Authors,DOI,Citations
2011,T-IE,Delay Compensation in Model Predictive Current Control of a Three-Phase Inverter,Patricio Cortés; José Rodríguez; César Silva; Alexis Flores,https://doi.org/10.1109/tie.2011.2157284,1110
2002,T-Mech,Internet-based teleoperation using wave variables with prediction,Saghir Munir; Wayne J. Book,https://doi.org/10.1109/tmech.2002.1011249,377
2019,T-VT,Flight Delay Prediction Based on Aviation Big Data and Machine Learning,Guan Gui; Fan Liu; Jinlong Sun; Jie Yang; Ziqi Zhou,https://doi.org/10.1109/tvt.2019.2954094,341
2013,T-IE,Predictive Output Feedback Control for Networked Control Systems,Rongni Yang; Shuai Liu; Peng Shi; Clive Thomas; Michael Basin,https://doi.org/10.1109/tie.2013.2248339,309
2010,T-AC,Lyapunov Stability of Linear Predictor Feedback for Time-Varying Input Delay,Miroslav Krstić,https://doi.org/10.1109/tac.2009.2038196,298
2012,Automatica,Truncated predictor feedback for linear systems with long time-varying input delays,Bin Zhou; Zongli Lin; Guang‐Ren Duan,https://doi.org/10.1016/j.automatica.2012.06.032,291
2004,T-IE,Predictive Current Control of Voltage-Source Inverters,Haitham Abu‐Rub; Jarosław Guziński; Z Krzemiński; Hamid A. Toliyat,https://doi.org/10.1109/tie.2004.825364,250
2008,Automatica,Lyapunov tools for predictor feedbacks for delay systems: Inverse optimality and robustness to delay mismatch,Miroslav Krstić,https://doi.org/10.1016/j.automatica.2008.04.010,238
2014,T-CST,Wide-Area Damping Controller for Power System Interarea Oscillations: A Networked Predictive Control Approach,Wei Yao; Lin Jiang; Jinyu Wen; Qinghua Wu; Shijie Cheng,https://doi.org/10.1109/tcst.2014.2311852,226
2009,T-IE,Predictive Direct Torque Control for Flux and Torque Ripple Reduction,Jef Beerten; Jan Verveckken; Johan Driesen,https://doi.org/10.1109/tie.2009.2033487,225
2012,T-AC,Compensation of State-Dependent Input Delay for Nonlinear Systems,Nikolaos Bekiaris‐Liberis; Miroslav Krstić,https://doi.org/10.1109/tac.2012.2208294,223
2010,T-AC,Delay-Adaptive Predictor Feedback for Systems With Unknown Long Actuator Delay $ $,Delphine Bresch‐Pietri; Miroslav Krstić,https://doi.org/10.1109/tac.2010.2050352,199
2008,T-IE,"A Design Method of Communication Disturbance Observer for Time-Delay Compensation, Taking the Dynamic Property of Network Disturbance Into Account",Kenji Natori; Kouhei Ohnishi,https://doi.org/10.1109/tie.2008.918635,199
2019,T-VT,Delay-Minimization Routing for Heterogeneous VANETs With Machine Learning Based Mobility Prediction,Yujie Tang; Nan Cheng; Wen Wu; Miao Wang; Yanpeng Dai,https://doi.org/10.1109/tvt.2019.2899627,199
2009,T-AC,Compensating a String PDE in the Actuation or Sensing Path of an Unstable ODE,Miroslav Krstić,https://doi.org/10.1109/tac.2009.2015557,184
2012,T-II,${\cal H}_{\infty}$ Step Tracking Control for Networked Discrete-Time Nonlinear Systems With Integral and Predictive Actions,Hui Zhang; Yang Shi; Mingxi Liu,https://doi.org/10.1109/tii.2012.2225434,181
2009,T-II,Design the Remote Control System With the Time-Delay Estimator and the Adaptive Smith Predictor,Chien-Liang Lai; Pau‐Lo Hsu,https://doi.org/10.1109/tii.2009.2037917,179
2015,T-IE,Data-Based Predictive Control for Networked Nonlinear Systems With Network-Induced Delay and Packet Dropout,Zhong‐Hua Pang; Shuai Liu; Donghua Zhou; Dehui Sun,https://doi.org/10.1109/tie.2015.2497206,172
2004,Automatica,Robust prediction-based control for unstable delay systems: Application to the yaw control of a mini-helicopter,R. Lozano; P. Castillo; Pedro García; Alejandro Dzul,https://doi.org/10.1016/j.automatica.2003.10.007,166
2006,T-CST,Compensation for transmission delays in an ethernet-based control network using variable-horizon predictive control,Poi Loon Tang; C.W. de Silva,https://doi.org/10.1109/tcst.2006.876640,166
2021,T-ITS,Model Predictive Control for Connected Vehicle Platoon Under Switching Communication Topology,Pangwei Wang; Hui Deng; Juan Zhang; Li Wang; Mingfang Zhang,https://doi.org/10.1109/tits.2021.3073012,161
2010,T-AC,Lyapunov Stability of Linear Predictor Feedback for Distributed Input Delays,Nikolaos Bekiaris‐Liberis; Miroslav Krstić,https://doi.org/10.1109/tac.2010.2092030,160
2019,T-IE,Novel Compensation Strategy for Calculation Delay of Finite Control Set Model Predictive Current Control in PMSM,Jinqiu Gao; Chao Gong; Wenzhen Li; Jinglin Liu,https://doi.org/10.1109/tie.2019.2934060,160
2010,T-AC,Networked Predictive Control of Uncertain Constrained Nonlinear Systems: Recursive Feasibility and Input-to-State Stability Analysis,Gilberto Pin; Thomas Parisini,https://doi.org/10.1109/tac.2010.2051091,154
2014,T-AC,Delay-Adaptive Control for Nonlinear Systems,Delphine Bresch‐Pietri; Miroslav Krstić,https://doi.org/10.1109/tac.2014.2298711,153
2014,Automatica,New predictive scheme for the control of LTI systems with input delay and unknown disturbances,Vincent Léchappé; Emmanuel Moulay; Franck Plestan; Alain Glumineau; Abdelhamid Chriette,https://doi.org/10.1016/j.automatica.2014.11.003,150
2019,T-ITS,Subway Passenger Flow Prediction for Special Events Using Smart Card Data,Enhui Chen; Zhirui Ye; Chao Wang; Mingtao Xu,https://doi.org/10.1109/tits.2019.2902405,150
2008,T-IE,Comparison of Prediction Techniques to Compensate Time Delays Caused by Digital Control of a Three-Phase Buck-Type PWM Rectifier System,Thomas Nußbaumer; Marcelo Lobo Heldwein; Guanghai Gong; S.D. Round; Johann W. Kolar,https://doi.org/10.1109/tie.2007.909061,148
2009,Automatica,Distributed model predictive control of nonlinear systems subject to asynchronous and delayed measurements,Jinfeng Liu; David Muñoz de la Peña; Panagiotis D. Christofides,https://doi.org/10.1016/j.automatica.2009.10.033,141
2000,T-Mech,Development of a multi-behavior based mobile robot for remote supervisory control through the Internet,Ren Luo; Tse Min Chen,https://doi.org/10.1109/3516.891049,137
